DATE,IPN31152N
1/1/1972,59.9622
2/1/1972,67.0605
3/1/1972,74.235
4/1/1972,78.112
5/1/1972,84.7636
6/1/1972,100.596
7/1/1972,100.1263
8/1/1972,96.3607
9/1/1972,85.8007
10/1/1972,70.3934
11/1/1972,60.8072
12/1/1972,58.6598
1/1/1973,61.0996
2/1/1973,72.2062
3/1/1973,80.0984
4/1/1973,83.9059
5/1/1973,87.3712
6/1/1973,109.7467
7/1/1973,107.3748
8/1/1973,99.6631
9/1/1973,91.6272
10/1/1973,75.3049
11/1/1973,65.9342
12/1/1973,61.5304
1/1/1974,62.9796
2/1/1974,75.3447
3/1/1974,84.2683
4/1/1974,84.5883
5/1/1974,90.5395
6/1/1974,109.9025
7/1/1974,103.8903
8/1/1974,101.0265
9/1/1974,89.4762
10/1/1974,73.6952
11/1/1974,66.1573
12/1/1974,61.0653
1/1/1975,64.2659
2/1/1975,75.4174
3/1/1975,85.169
4/1/1975,85.0917
5/1/1975,97.3552
6/1/1975,113.5254
7/1/1975,108.1455
8/1/1975,104.8251
9/1/1975,90.1157
10/1/1975,75.7187
11/1/1975,70.2168
12/1/1975,62.7436
1/1/1976,61.9418
2/1/1976,74.0597
3/1/1976,86.9646
4/1/1976,90.131
5/1/1976,94.1542
6/1/1976,110.0257
7/1/1976,107.4617
8/1/1976,103.8183
9/1/1976,92.238
10/1/1976,75.1034
11/1/1976,67.532
12/1/1976,62.483
1/1/1977,63.7684
2/1/1977,75.0613
3/1/1977,90.0211
4/1/1977,92.6645
5/1/1977,99.12
6/1/1977,114.723
7/1/1977,112.3297
8/1/1977,106.4137
9/1/1977,91.7217
10/1/1977,76.0245
11/1/1977,67.3937
12/1/1977,61.4415
1/1/1978,61.888
2/1/1978,72.8712
3/1/1978,83.9315
4/1/1978,89.0592
5/1/1978,92.4522
6/1/1978,111.3258
7/1/1978,106.9251
8/1/1978,103.6909
9/1/1978,90.6197
10/1/1978,79.1839
11/1/1978,67.8849
12/1/1978,62.4032
1/1/1979,63.0121
2/1/1979,73.9406
3/1/1979,86.4275
4/1/1979,91.2026
5/1/1979,94.7007
6/1/1979,110.1034
7/1/1979,107.1544
8/1/1979,106.7727
9/1/1979,95.3163
10/1/1979,79.5977
11/1/1979,67.8927
12/1/1979,63.285
1/1/1980,66.9827
2/1/1980,76.4441
3/1/1980,85.8896
4/1/1980,87.9979
5/1/1980,92.1732
6/1/1980,108.4666
7/1/1980,107.8745
8/1/1980,107.8574
9/1/1980,90.6691
10/1/1980,76.2283
11/1/1980,66.4869
12/1/1980,63.8654
1/1/1981,60.5596
2/1/1981,76.4854
3/1/1981,86.6148
4/1/1981,89.0339
5/1/1981,93.6984
6/1/1981,110.6836
7/1/1981,110.7837
8/1/1981,106.1196
9/1/1981,91.4711
10/1/1981,76.9246
11/1/1981,71.0281
12/1/1981,66.5992
1/1/1982,62.0754
2/1/1982,77.0295
3/1/1982,88.5032
4/1/1982,86.244
5/1/1982,93.3385
6/1/1982,106.9338
7/1/1982,101.1462
8/1/1982,98.2014
9/1/1982,86.1862
10/1/1982,72.0738
11/1/1982,66.0278
12/1/1982,61.469
1/1/1983,63.5263
